repo,number,state,merged,created_at,closed_or_merged_at,additions,deletions,changed_files,description_length,comments,review_comments,participants
freeCodeCamp/freeCodeCamp,59600,closed,True,2025-04-04T14:17:13Z,2025-04-04T15:15:56Z,1,1,1,47,0,0,2
freeCodeCamp/freeCodeCamp,59576,closed,True,2025-04-03T15:52:45Z,2025-04-03T19:14:48Z,4,1,2,1356,0,0,2
freeCodeCamp/freeCodeCamp,59572,closed,False,2025-04-03T15:17:03Z,2025-04-03T15:58:16Z,3,3,1,854,1,1,1
freeCodeCamp/freeCodeCamp,59570,closed,True,2025-04-03T14:49:04Z,2025-04-03T16:27:39Z,29,2,1,818,0,0,2
freeCodeCamp/freeCodeCamp,59569,closed,True,2025-04-03T13:40:08Z,2025-04-03T16:02:05Z,75,119,9,775,3,0,2
freeCodeCamp/freeCodeCamp,59568,closed,True,2025-04-03T13:11:14Z,2025-04-03T13:53:03Z,1,0,1,862,0,0,2
freeCodeCamp/freeCodeCamp,59560,closed,True,2025-04-03T01:36:32Z,2025-04-03T06:36:47Z,1,1,1,462,1,0,2
freeCodeCamp/freeCodeCamp,59559,closed,True,2025-04-02T23:38:02Z,2025-04-03T15:09:33Z,2,1,1,1071,0,0,2
freeCodeCamp/freeCodeCamp,59556,closed,True,2025-04-02T18:31:56Z,2025-04-03T12:14:49Z,8,0,1,1037,0,3,3
freeCodeCamp/freeCodeCamp,59554,closed,False,2025-04-02T18:15:15Z,2025-04-02T19:00:41Z,8,0,1,412,2,0,1
freeCodeCamp/freeCodeCamp,59552,closed,True,2025-04-02T15:57:13Z,2025-04-04T18:04:34Z,391,50,2,870,0,3,2
freeCodeCamp/freeCodeCamp,59550,closed,True,2025-04-02T15:35:20Z,2025-04-03T05:55:38Z,13,1,1,792,0,0,2
freeCodeCamp/freeCodeCamp,59548,closed,True,2025-04-02T14:38:01Z,2025-04-04T17:10:58Z,246,1,2,750,1,7,2
freeCodeCamp/freeCodeCamp,59547,closed,True,2025-04-02T12:26:09Z,2025-04-02T14:50:04Z,10,70,10,45,0,0,2
freeCodeCamp/freeCodeCamp,59540,closed,True,2025-04-02T03:21:13Z,2025-04-03T18:53:19Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59539,closed,True,2025-04-01T21:46:01Z,2025-04-03T18:47:34Z,7,1,1,952,0,0,2
freeCodeCamp/freeCodeCamp,59537,closed,True,2025-04-01T19:50:50Z,2025-04-03T05:57:35Z,4,4,4,750,0,0,3
freeCodeCamp/freeCodeCamp,59534,closed,True,2025-04-01T13:35:58Z,2025-04-02T08:41:10Z,3,3,1,420,2,0,2
freeCodeCamp/freeCodeCamp,59531,closed,True,2025-04-01T08:42:26Z,2025-04-01T14:31:13Z,1,1,1,750,0,0,2
freeCodeCamp/freeCodeCamp,59529,closed,True,2025-04-01T03:17:07Z,2025-04-02T09:45:59Z,6,7,1,843,0,0,2
freeCodeCamp/freeCodeCamp,59528,closed,False,2025-04-01T01:49:15Z,2025-04-01T04:51:35Z,6,18,1,834,1,0,1
